iter,timestamp_iso,elapsed_sec,image_path,annotated_path,door_state,door_confidence,handle_present,material_visible,need_open_door_result,need_open_door_reason,material_after_open_result,material_after_open_reason,goal_status,goal_reason_code,goal_message,next_action_name,next_action_args,full_action_list_json,skip_log_json,detected_json,raw_len
1,2025-09-05T15:53:12,7.025,/tmp/vlm_frame_1757055186584.png,/tmp/vlm_frame_1757055186584_det.png,closed,0.9,True,uncertain,False,door_state=closed,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,218,272,471]],""material"":[[322,331,335,344]]}",1088
2,2025-09-05T15:53:17,4.930,/tmp/vlm_frame_1757055193781.png,/tmp/vlm_frame_1757055193781_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,219,272,472]],""material"":[[322,331,335,344]]}",944
3,2025-09-05T15:53:23,5.671,/tmp/vlm_frame_1757055199262.png,/tmp/vlm_frame_1757055199262_det.png,open,0.9,True,uncertain,False,already open,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,219,272,472]],""material"":[[322,331,335,344]]}",1086
4,2025-09-05T15:53:28,5.294,/tmp/vlm_frame_1757055204752.png,/tmp/vlm_frame_1757055204752_det.png,closed,0.9,True,uncertain,False,door_state=closed,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,219,272,472]],""material"":[[322,331,335,344]]}",1088
5,2025-09-05T15:53:33,4.905,/tmp/vlm_frame_1757055210232.png,/tmp/vlm_frame_1757055210232_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[113,209,272,472]],""material"":[[323,331,335,344]]}",944
6,2025-09-05T15:53:38,4.250,/tmp/vlm_frame_1757055214709.png,/tmp/vlm_frame_1757055214709_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,205,272,472]],""material"":[[322,331,335,344]]}",944
7,2025-09-05T15:53:42,4.354,/tmp/vlm_frame_1757055219197.png,/tmp/vlm_frame_1757055219197_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,209,272,472]],""material"":[[322,331,335,344]]}",944
8,2025-09-05T15:53:47,4.289,/tmp/vlm_frame_1757055223681.png,/tmp/vlm_frame_1757055223681_det.png,open,0.9,True,uncertain,False,already open,,,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,205,272,472]],""material"":[[322,331,335,344]]}",944
9,2025-09-05T15:53:51,4.739,/tmp/vlm_frame_1757055228166.png,/tmp/vlm_frame_1757055228166_det.png,open,0.9,True,uncertain,False,already open,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,208,272,472]],""material"":[[322,331,335,344]]}",1086
10,2025-09-05T15:53:56,4.392,/tmp/vlm_frame_1757055232649.png,/tmp/vlm_frame_1757055232649_det.png,closed,0.9,True,uncertain,False,door_state=closed,uncertain,material to be checked after opening,in_progress,OK,execute close_door,close_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,200,272,472]],""material"":[[323,331,335,344]]}",1088
