iter,timestamp_iso,elapsed_sec,image_path,annotated_path,door_state,door_confidence,handle_present,material_visible,need_open_door_result,need_open_door_reason,material_after_open_result,material_after_open_reason,goal_status,goal_reason_code,goal_message,next_action_name,next_action_args,full_action_list_json,skip_log_json,detected_json,raw_len
1,2025-09-05T15:46:37,9.726,/tmp/vlm_frame_1757054788475.png,/tmp/vlm_frame_1757054788475_det.png,closed,0.9,True,uncertain,True,door_state=closed,,,in_progress,OK,execute open_door,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,207,272,472]],""material"":[[322,331,335,344]]}",946
2,2025-09-05T15:46:42,4.658,/tmp/vlm_frame_1757054798675.png,/tmp/vlm_frame_1757054798675_det.png,closed,0.9,True,uncertain,True,door_state=closed,,,in_progress,OK,execute open_door,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,205,272,472]],""material"":[[322,331,335,344]]}",946
3,2025-09-05T15:46:46,4.408,/tmp/vlm_frame_1757054803151.png,/tmp/vlm_frame_1757054803151_det.png,closed,0.9,True,uncertain,True,door_state=closed,,,in_progress,OK,execute open_door,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,203,272,472]],""material"":[[322,331,335,344]]}",946
4,2025-09-05T15:46:51,4.435,/tmp/vlm_frame_1757054807634.png,/tmp/vlm_frame_1757054807634_det.png,closed,0.9,True,uncertain,True,door_state=closed,,,in_progress,OK,execute open_door,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,211,272,472]],""material"":[[322,331,335,344]]}",949
5,2025-09-05T15:46:55,4.407,/tmp/vlm_frame_1757054812135.png,/tmp/vlm_frame_1757054812135_det.png,closed,0.9,True,uncertain,True,door_state=closed,,,in_progress,OK,execute open_door,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,212,272,472]],""material"":[[322,331,335,344]]}",949
6,2025-09-05T15:47:00,4.477,/tmp/vlm_frame_1757054816608.png,/tmp/vlm_frame_1757054816608_det.png,closed,0.9,True,uncertain,True,door_state=closed,,,in_progress,OK,execute open_door,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,213,272,471]],""material"":[[322,331,335,344]]}",946
7,2025-09-05T15:47:04,4.261,/tmp/vlm_frame_1757054821111.png,/tmp/vlm_frame_1757054821111_det.png,closed,0.9,True,uncertain,True,door_state=closed,,,in_progress,OK,execute open_door,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,219,272,471]],""material"":[[322,331,335,344]]}",946
8,2025-09-05T15:47:09,4.496,/tmp/vlm_frame_1757054825620.png,/tmp/vlm_frame_1757054825620_det.png,closed,0.9,True,uncertain,True,door_state=closed,,,in_progress,OK,execute open_door,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,206,272,472]],""material"":[[322,331,335,344]]}",946
9,2025-09-05T15:47:13,4.284,/tmp/vlm_frame_1757054830095.png,/tmp/vlm_frame_1757054830095_det.png,closed,0.9,True,uncertain,True,door_state=closed,,,in_progress,OK,execute open_door,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,211,272,471]],""material"":[[322,331,335,344]]}",946
10,2025-09-05T15:47:18,4.478,/tmp/vlm_frame_1757054834608.png,/tmp/vlm_frame_1757054834608_det.png,closed,0.9,True,uncertain,True,door_state=closed,,,in_progress,OK,execute open_door,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[112,211,272,472]],""material"":[[322,331,335,344]]}",946
