iter,timestamp_iso,elapsed_sec,image_path,annotated_path,door_state,door_confidence,handle_present,material_visible,need_open_door_result,need_open_door_reason,material_after_open_result,material_after_open_reason,goal_status,goal_reason_code,goal_message,next_action_name,next_action_args,full_action_list_json,skip_log_json,detected_json,raw_len
1,2025-09-05T14:45:24,12.454,/tmp/vlm_frame_1757051112952.png,/tmp/vlm_frame_1757051112952_det.png,open,0.9,True,uncertain,False,already open,,,satisfied,ALREADY_OPEN,door already open,,,[],"[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[109,200,269,474]],""material"":[[318,338,330,351]]}",847
2,2025-09-05T14:45:35,10.979,/tmp/vlm_frame_1757051125463.png,/tmp/vlm_frame_1757051125463_det.png,closed,0.9,True,uncertain,True,closed_door,,,in progress,,,open_door,"{""arm"":""right"",""object_label"":""door""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[109,202,269,474]],""material"":[[318,338,330,351]]}",1404
3,2025-09-05T14:45:47,11.823,/tmp/vlm_frame_1757051136947.png,/tmp/vlm_frame_1757051136947_det.png,,,,,,,,,,,,open_door,"{""arm"":""right"",""object_label"":""door""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":true,""reason_code"":""ALREADY_OPEN"",""message"":""door already open""},{""skipped"":true,""reason_code"":""NOTHING_TO_DO"",""message"":""no need to do anything""}]","{""door"":[[108,201,270,473]],""material"":[[318,338,330,351]]}",1148
4,2025-09-05T14:46:00,12.711,/tmp/vlm_frame_1757051148471.png,/tmp/vlm_frame_1757051148471_det.png,closed,1.0,True,False,,,,,in_progress,OK,perform open_door first,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[109,201,269,474]],""material"":[[318,338,330,351]]}",1471
5,2025-09-05T14:46:10,9.979,/tmp/vlm_frame_1757051161981.png,/tmp/vlm_frame_1757051161981_det.png,closed,0.9,True,uncertain,False,already open,,,in_progress,OK,execute open_door,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[109,202,269,474]],""material"":[[318,338,330,351]]}",863
6,2025-09-05T14:46:19,8.918,/tmp/vlm_frame_1757051171496.png,/tmp/vlm_frame_1757051171496_det.png,closed,1,True,uncertain,False,material_not_visible_after_open,,,in_progress,OK,execute open_door,open_door,"{""arm"":""right""}","[{""name"":""open_door"",""args"":{""arm"":""right""}}]",[],"{""door"":[[109,200,269,473]],""material"":[[318,338,330,351]]}",1030
7,2025-09-05T14:46:28,9.079,/tmp/vlm_frame_1757051180993.png,/tmp/vlm_frame_1757051180993_det.png,closed,0.9,True,uncertain,,,,,blocked,ALREADY_CLOSED,door already closed,,,[],[],"{""door"":[[109,200,269,474]],""material"":[[318,338,330,351]]}",872
8,2025-09-05T14:46:38,9.459,/tmp/vlm_frame_1757051190501.png,/tmp/vlm_frame_1757051190501_det.png,closed,0.9,True,uncertain,,,,,in_progress,OK,execute grasp and close,move_arm,"{""object_label"":""material"",""arm"":""left""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[109,200,270,474]],""material"":[[318,338,330,351]]}",940
9,2025-09-05T14:46:51,12.968,/tmp/vlm_frame_1757051200009.png,/tmp/vlm_frame_1757051200009_det.png,closed,0.9,True,False,,,,,in progress,,,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[109,201,269,474]],""material"":[[318,338,330,351]]}",1341
10,2025-09-05T14:47:02,10.847,/tmp/vlm_frame_1757051212518.png,/tmp/vlm_frame_1757051212518_det.png,closed,0.9,True,uncertain,,,,,satisfied,OK,,,,"[{""name"":""move_arm"",""args"":{""object_label"":""material""}},{""name"":""grasp"",""args"":{""object_label"":""material""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[108,200,269,474]],""material"":[[318,338,330,351]]}",1107
