iter,timestamp_iso,elapsed_sec,image_path,annotated_path,door_state,door_confidence,handle_present,material_visible,need_open_door_result,need_open_door_reason,material_after_open_result,material_after_open_reason,goal_status,goal_reason_code,goal_message,next_action_name,next_action_args,full_action_list_json,skip_log_json,detected_json,raw_len
1,2025-09-05T15:16:57,15.333,/tmp/vlm_frame_1757053002751.png,/tmp/vlm_frame_1757053002751_det.png,open,0.9,True,uncertain,,,,,in_progress,OK,execute move_arm to get the material,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[112,213,272,472]],""material"":[[323,331,335,344]]}",1282
2,2025-09-05T15:17:10,12.809,/tmp/vlm_frame_1757053018263.png,/tmp/vlm_frame_1757053018263_det.png,open,0.9,True,uncertain,,,,,satisfied,,,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[112,224,272,471]],""material"":[[322,331,335,344]]}",1422
3,2025-09-05T15:17:22,11.738,/tmp/vlm_frame_1757053031783.png,/tmp/vlm_frame_1757053031783_det.png,closed,0.9,True,uncertain,,,,,satisfied,,,move_arm,"{""object_label"":""material"",""arm"":""left""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[112,209,272,471]],""material"":[[322,331,335,344]]}",1197
4,2025-09-05T15:17:34,12.092,/tmp/vlm_frame_1757053043268.png,/tmp/vlm_frame_1757053043268_det.png,open,0.9,True,uncertain,,,,,in_progress,OK,door already open,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""left"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[112,211,272,472]],""material"":[[322,331,335,344]]}",1277
5,2025-09-05T15:17:46,12.245,/tmp/vlm_frame_1757053055754.png,/tmp/vlm_frame_1757053055754_det.png,open,0.9,True,uncertain,,,,,in_progress,OK,get_material: open_door,open_door,"{""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[112,219,272,472]],""material"":[[322,331,335,344]]}",1241
6,2025-09-05T15:17:58,11.612,/tmp/vlm_frame_1757053068246.png,/tmp/vlm_frame_1757053068246_det.png,open,0.9,True,partial,,,,,,,,open_door,"{""arm"":""right"",""object_label"":""door""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[112,211,272,471]],""material"":[[323,331,335,344]]}",1124
7,2025-09-05T15:18:10,12.119,/tmp/vlm_frame_1757053079734.png,/tmp/vlm_frame_1757053079734_det.png,closed,0.9,True,uncertain,True,,,,done,,,move_arm,"{""object_label"":""material"",""arm"":""left""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""left""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[112,235,271,472]],""material"":[[322,331,335,344]]}",1235
8,2025-09-05T15:18:23,12.777,/tmp/vlm_frame_1757053092244.png,/tmp/vlm_frame_1757053092244_det.png,open,0.9,True,uncertain,,,,,in_progress,OK,door already open,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[112,214,272,472]],""material"":[[322,331,335,344]]}",1273
9,2025-09-05T15:18:35,11.527,/tmp/vlm_frame_1757053104727.png,/tmp/vlm_frame_1757053104727_det.png,,,,,,,,,,,,,,[],[],"{""door"":[[112,217,272,472]],""material"":[[322,331,335,344]]}",1045
10,2025-09-05T15:18:46,11.677,/tmp/vlm_frame_1757053116234.png,/tmp/vlm_frame_1757053116234_det.png,closed,0.9,True,uncertain,,,,,in_progress,OK,door already open,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]","[{""skipped"":{""name"":""open_door"",""reason"":""already open""}}]","{""door"":[[112,211,272,472]],""material"":[[322,331,335,344]]}",1247
