iter,timestamp_iso,elapsed_sec,image_path,annotated_path,door_state,door_confidence,handle_present,material_visible,need_open_door_result,need_open_door_reason,material_after_open_result,material_after_open_reason,goal_status,goal_reason_code,goal_message,next_action_name,next_action_args,full_action_list_json,skip_log_json,detected_json,raw_len
1,2025-09-05T13:35:38,7.919,/tmp/vlm_frame_1757046931087.png,/tmp/vlm_frame_1757046931087_det.png,open,0.9,True,True,False,already open,True,material detected,in_progress,OK,approach material,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[161,175,291,464]],""material"":[[335,315,346,327]]}",1386
2,2025-09-05T13:35:44,5.929,/tmp/vlm_frame_1757046939310.png,/tmp/vlm_frame_1757046939310_det.png,open,0.9,True,True,False,already open,True,material detected,in_progress,OK,approach material,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[161,175,291,464]],""material"":[[335,315,346,327]]}",1386
3,2025-09-05T13:35:49,5.486,/tmp/vlm_frame_1757046944838.png,/tmp/vlm_frame_1757046944838_det.png,open,0.9,True,True,False,already open,True,material detected,in_progress,OK,approach material,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[161,175,291,464]],""material"":[[335,315,346,326]]}",1386
4,2025-09-05T13:35:55,5.471,/tmp/vlm_frame_1757046950351.png,/tmp/vlm_frame_1757046950351_det.png,open,0.9,True,True,False,already open,True,material detected,in_progress,OK,approach material,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[161,175,291,464]],""material"":[[335,315,346,327]]}",1386
5,2025-09-05T13:36:00,5.451,/tmp/vlm_frame_1757046955886.png,/tmp/vlm_frame_1757046955886_det.png,open,0.9,True,True,False,already open,True,material detected,in_progress,OK,approach material,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[161,175,291,464]],""material"":[[335,315,346,326]]}",1386
6,2025-09-05T13:36:06,5.51,/tmp/vlm_frame_1757046961421.png,/tmp/vlm_frame_1757046961421_det.png,open,0.9,True,True,False,already open,True,material detected,in_progress,OK,approach material,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[150,167,289,456]],""material"":[[335,304,347,317]]}",1386
7,2025-09-05T13:36:11,5.517,/tmp/vlm_frame_1757046966960.png,/tmp/vlm_frame_1757046966960_det.png,open,0.9,True,True,False,already open,True,material detected,in_progress,OK,approach material,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[150,167,289,456]],""material"":[[335,304,346,317]]}",1386
8,2025-09-05T13:36:16,4.517,/tmp/vlm_frame_1757046972466.png,/tmp/vlm_frame_1757046972466_det.png,closed,0.9,True,uncertain,True,door_state=closed,uncertain,material to be checked after opening,in_progress,OK,execute open_door,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[150,167,289,456]],""material"":[[335,304,347,317]]}",1088
9,2025-09-05T13:36:20,4.423,/tmp/vlm_frame_1757046977004.png,/tmp/vlm_frame_1757046977004_det.png,closed,0.9,True,True,True,door_state=closed,True,material detected,in_progress,OK,execute open_door,open_door,"{""arm"":""right"",""object_label"":""door-handle""}","[{""name"":""open_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}}]",[],"{""door"":[[151,165,289,456]],""material"":[[335,304,347,317]]}",1055
10,2025-09-05T13:36:26,5.459,/tmp/vlm_frame_1757046981517.png,/tmp/vlm_frame_1757046981517_det.png,open,0.9,True,True,False,already open,True,material detected,in_progress,OK,approach material,move_arm,"{""object_label"":""material"",""arm"":""right""}","[{""name"":""move_arm"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""grasp"",""args"":{""object_label"":""material"",""arm"":""right""}},{""name"":""close_door"",""args"":{""arm"":""right"",""object_label"":""door-handle""}},{""name"":""return_home"",""args"":{}}]",[],"{""door"":[[150,167,289,456]],""material"":[[335,304,347,317]]}",1386
